Wavenumber, 11301_2-16.SPA, 11302_2-16.SPA, 11303_2-16.SPA, 113121_2-22.SPA, 113122_2-22.SPA, 113123_2-22.SPA, 113151_2-22.SPA, 113152_2-22.SPA, 113153_2-22.SPA, 113181_2-22.SPA, 113182_2-22.SPA, 113183_2-22.SPA, 113241_2-22.SPA, 113242_2-22.SPA, 113243_2-22.SPA, 113301_2-22.SPA, 113302_2-22.SPA, 113303_2-22.SPA, 11331_2-16.SPA, 11332_2-16.SPA, 11333_2-16.SPA, 113361_2-22.SPA, 113362_2-22.SPA, 113363_2-22.SPA, 11361_2-16.SPA, 11362_2-16.SPA, 11363_2-16.SPA, 11391_2-22.SPA, 11392_2-22.SPA, 11393_2-22.SPA
1759.02, 97.5657, 97.3584, 96.9388, 98.0146, 98.55, 98.3065, 98.4642, 98.4497, 98.6137, 98.4216, 98.3319, 98.2036, 98.482, 98.8031, 98.8841, 98.5147, 98.5793, 98.5999, 97.4212, 97.3071, 97.7009, 98.3353, 98.5182, 98.7103, 99.2905, 97.8362, 97.9134, 98.3177, 100.535, 97.9194
1758.96, 97.6134, 97.3831, 96.943, 98.0255, 98.562, 98.3309, 98.4655, 98.4395, 98.6335, 98.4105, 98.3416, 98.1836, 98.4623, 98.7922, 98.8867, 98.5275, 98.5762, 98.5923, 97.434, 97.3118, 97.7055, 98.2937, 98.5198, 98.7312, 99.3095, 97.8284, 97.9364, 98.3215, 100.501, 97.9167
1758.9, 97.6543, 97.406, 96.9497, 98.038, 98.5732, 98.3531, 98.4686, 98.4344, 98.6559, 98.4046, 98.3484, 98.1753, 98.4402, 98.7813, 98.8866, 98.538, 98.5757, 98.5863, 97.4478, 97.3205, 97.715, 98.2572, 98.5192, 98.7531, 99.3375, 97.8336, 97.9559, 98.3208, 100.471, 97.9099
1758.84, 97.6878, 97.4262, 96.96, 98.0508, 98.5826, 98.3693, 98.4733, 98.4368, 98.6777, 98.4044, 98.3523, 98.1772, 98.4188, 98.7697, 98.885, 98.5437, 98.5804, 98.583, 97.4622, 97.3357, 97.729, 98.2266, 98.5171, 98.7728, 99.3719, 97.8538, 97.9726, 98.3154, 100.446, 97.8994
1758.78, 97.7135, 97.4435, 96.9739, 98.063, 98.5892, 98.3772, 98.4787, 98.4475, 98.6957, 98.4103, 98.3544, 98.1868, 98.4006, 98.7575, 98.8822, 98.5432, 98.5924, 98.5833, 97.4775, 97.3591, 97.7462, 98.2016, 98.5145, 98.7864, 99.4088, 97.8886, 97.9882, 98.3057, 100.428, 97.8867
1758.72, 97.7308, 97.4587, 96.9903, 98.0741, 98.5932, 98.3766, 98.484, 98.4663, 98.7073, 98.4219, 98.3563, 98.2006, 98.3873, 98.7459, 98.8776, 98.5365, 98.6119, 98.5881, 97.4945, 97.3906, 97.7646, 98.1812, 98.5122, 98.7904, 99.444, 97.9368, 98.0053, 98.2927, 100.418, 97.8741
1758.66, 97.7395, 97.4728, 97.0074, 98.0844, 98.5951, 98.3694, 98.4888, 98.4912, 98.7107, 98.4387, 98.3592, 98.2157, 98.3794, 98.7363, 98.8698, 98.5254, 98.6373, 98.5976, 97.5139, 97.4277, 97.7822, 98.1644, 98.5107, 98.7828, 99.474, 97.9951, 98.0254, 98.2787, 100.415, 97.8636
1758.6, 97.7396, 97.4864, 97.0234, 98.0949, 98.5959, 98.3593, 98.4932, 98.5193, 98.7053, 98.4594, 98.3632, 98.2292, 98.3769, 98.7301, 98.8571, 98.5127, 98.6652, 98.6117, 97.5355, 97.4657, 97.7974, 98.1504, 98.5096, 98.7639, 99.4969, 98.0594, 98.0491, 98.2661, 100.417, 97.8566
1758.53, 97.7312, 97.4993, 97.0366, 98.107, 98.5965, 98.3505, 98.4982, 98.5471, 98.6916, 98.4825, 98.3673, 98.2392, 98.3796, 98.7283, 98.8387, 98.5016, 98.6912, 98.6296, 97.5583, 97.4989, 97.8089, 98.1393, 98.5084, 98.7362, 99.5123, 98.1247, 98.0751, 98.2577, 100.422, 97.8536
1758.47, 97.7147, 97.5103, 97.047, 98.1216, 98.5974, 98.3468, 98.5053, 98.571, 98.6712, 98.5065, 98.3698, 98.2445, 98.387, 98.731, 98.8147, 98.4951, 98.7105, 98.6497, 97.5808, 97.5221, 97.8161, 98.1319, 98.5061, 98.7042, 99.5217, 98.1855, 98.1011, 98.2557, 100.429, 97.8539
1758.41, 97.6905, 97.5179, 97.0556, 98.1393, 98.5986, 98.3508, 98.5157, 98.588, 98.6467, 98.5305, 98.3687, 98.2449, 98.3988, 98.7374, 98.7866, 98.4949, 98.7192, 98.6699, 97.6012, 97.5322, 97.8188, 98.1297, 98.5025, 98.673, 99.5277, 98.2367, 98.1241, 98.2611, 100.435, 97.8558
1758.35, 97.6593, 97.5213, 97.065, 98.1591, 98.5997, 98.3635, 98.5301, 98.5958, 98.6213, 98.5534, 98.3631, 98.2412, 98.4141, 98.7461, 98.757, 98.501, 98.7151, 98.6874, 97.618, 97.5287, 97.8171, 98.1344, 98.4977, 98.6473, 99.5331, 98.2738, 98.1414, 98.2739, 100.437, 97.8575
1758.29, 97.6226, 97.5206, 97.0778, 98.1796, 98.6006, 98.3837, 98.5482, 98.5938, 98.5984, 98.5749, 98.3528, 98.2349, 98.4315, 98.7553, 98.7291, 98.5112, 98.6983, 98.6993, 97.6303, 97.5142, 97.8115, 98.1471, 98.4923, 98.63, 99.5404, 98.2941, 98.1514, 98.2928, 100.434, 97.8574
1758.23, 97.582, 97.5177, 97.0959, 98.1984, 98.6015, 98.409, 98.568, 98.5826, 98.5806, 98.5943, 98.3387, 98.2284, 98.4492, 98.763, 98.706, 98.522, 98.6711, 98.7028, 97.6377, 97.493, 97.8027, 98.1682, 98.4871, 98.6225, 99.5515, 98.2969, 98.1532, 98.3157, 100.423, 97.8553
1758.17, 97.5401, 97.5157, 97.1199, 98.2135, 98.6034, 98.4357, 98.5867, 98.5648, 98.57, 98.611, 98.3223, 98.2248, 98.4653, 98.7674, 98.6897, 98.5293, 98.6379, 98.6959, 97.6406, 97.4698, 97.7913, 98.1969, 98.4827, 98.6241, 99.5667, 98.284, 98.1474, 98.3401, 100.406, 97.8521
1758.11, 97.4996, 97.5179, 97.1478, 98.2234, 98.6075, 98.4597, 98.6012, 98.5437, 98.5671, 98.6243, 98.3054, 98.2267, 98.4784, 98.7668, 98.6812, 98.5299, 98.6041, 98.6779, 97.6397, 97.4482, 97.7784, 98.2314, 98.4784, 98.6328, 99.5854, 98.2593, 98.135, 98.3635, 100.383, 97.8495
1758.05, 97.4639, 97.5269, 97.1764, 98.2279, 98.6148, 98.4776, 98.6084, 98.5236, 98.5711, 98.6337, 98.289, 98.2363, 98.4883, 98.7597, 98.6802, 98.5227, 98.5753, 98.6498, 97.6361, 97.4302, 97.7649, 98.2692, 98.473, 98.6456, 99.6055, 98.2282, 98.1174, 98.384, 100.356, 97.8503
1757.99, 97.4356, 97.5437, 97.2019, 98.2274, 98.6254, 98.4871, 98.607, 98.5083, 98.5799, 98.639, 98.2735, 98.2546, 98.4957, 98.7456, 98.6852, 98.5091, 98.5563, 98.6148, 97.6315, 97.4161, 97.7518, 98.3079, 98.4642, 98.6598, 99.6247, 98.1966, 98.0966, 98.4008, 100.331, 97.8563
1757.93, 97.4171, 97.5674, 97.2211, 98.2234, 98.6381, 98.4879, 98.5972, 98.5005, 98.5906, 98.6412, 98.2586, 98.2809, 98.5022, 98.7249, 98.694, 98.4929, 98.5496, 98.5778, 97.6277, 97.4053, 97.7399, 98.3452, 98.4499, 98.673, 99.6402, 98.1696, 98.0752, 98.414, 100.311, 97.8685
1757.87, 97.4097, 97.5956, 97.233, 98.2175, 98.6505, 98.4817, 98.5815, 98.5014, 98.6005, 98.642, 98.2435, 98.313, 98.5093, 98.6994, 98.7044, 98.4791, 98.5555, 98.5447, 97.6266, 97.397, 97.7301, 98.3793, 98.4288, 98.6835, 99.6499, 98.1506, 98.0558, 98.4252, 100.298, 97.886
1757.81, 97.4136, 97.6257, 97.2388, 98.2116, 98.66, 98.472, 98.5636, 98.5107, 98.6073, 98.6437, 98.2274, 98.3479, 98.5179, 98.6717, 98.7142, 98.473, 98.5719, 98.5211, 97.6296, 97.391, 97.7233, 98.409, 98.401, 98.6906, 99.6529, 98.1406, 98.0412, 98.4361, 100.293, 97.9066
