Wavenumber, 11301_2-16.SPA, 113121_2-22.SPA, 113151_2-22.SPA, 113181_2-22.SPA, 113241_2-22.SPA, 113301_2-22.SPA, 11331_2-16.SPA, 113361_2-22.SPA, 11361_2-16.SPA, 11391_2-22.SPA
1801.93, 97.9364, 98.373, 98.6307, 98.3979, 98.62, 98.5605, 98.0127, 98.4267, 98.3303, 98.6927
1801.87, 97.9348, 98.3594, 98.6129, 98.4029, 98.6106, 98.5595, 98.0053, 98.4327, 98.3372, 98.6788
1801.81, 97.9307, 98.3486, 98.5953, 98.4074, 98.6025, 98.5553, 97.9957, 98.4438, 98.3439, 98.6621
1801.75, 97.9227, 98.3415, 98.5803, 98.4103, 98.5974, 98.5486, 97.9862, 98.4579, 98.3502, 98.6437
1801.69, 97.9106, 98.3377, 98.5698, 98.411, 98.596, 98.5401, 97.9792, 98.4729, 98.3562, 98.6245
1801.63, 97.8953, 98.3363, 98.5653, 98.4092, 98.5979, 98.5301, 97.9764, 98.4867, 98.3619, 98.6058
1801.57, 97.8784, 98.3358, 98.5668, 98.4051, 98.6019, 98.5191, 97.9783, 98.4976, 98.367, 98.5888
1801.51, 97.8618, 98.3352, 98.5737, 98.3993, 98.6068, 98.5078, 97.9837, 98.5044, 98.3711, 98.5742
1801.45, 97.8469, 98.3339, 98.5842, 98.3929, 98.6114, 98.4965, 97.9904, 98.5065, 98.373, 98.5622
1801.39, 97.8343, 98.3317, 98.5964, 98.3875, 98.615, 98.4863, 97.996, 98.5034, 98.372, 98.5529
1801.32, 97.824, 98.3291, 98.6083, 98.3842, 98.6176, 98.478, 97.9983, 98.495, 98.3676, 98.5459
1801.26, 97.8152, 98.3268, 98.6183, 98.3837, 98.6193, 98.4727, 97.9965, 98.4817, 98.3603, 98.5408
1801.2, 97.8077, 98.3252, 98.6254, 98.3859, 98.6203, 98.4712, 97.991, 98.4643, 98.3509, 98.5379
1801.14, 97.8013, 98.3245, 98.6292, 98.3898, 98.6206, 98.4739, 97.9835, 98.4443, 98.3409, 98.5374
1801.08, 97.7963, 98.3242, 98.6296, 98.3939, 98.6198, 98.4808, 97.9761, 98.4239, 98.3313, 98.54
1801.02, 97.793, 98.3238, 98.6265, 98.3966, 98.6176, 98.4908, 97.9709, 98.4059, 98.3225, 98.5459
1800.96, 97.7915, 98.3224, 98.6202, 98.3972, 98.614, 98.5028, 97.9694, 98.3928, 98.3143, 98.555
1800.9, 97.7912, 98.3195, 98.611, 98.3957, 98.6094, 98.515, 97.9719, 98.3866, 98.3057, 98.5663
1800.84, 97.7907, 98.3147, 98.5993, 98.3933, 98.6048, 98.5257, 97.9776, 98.3877, 98.296, 98.5783
1800.78, 97.7884, 98.3083, 98.5859, 98.3922, 98.6015, 98.5338, 97.9852, 98.3954, 98.2847, 98.5891
1800.72, 97.7826, 98.301, 98.5718, 98.3942, 98.6008, 98.5385, 97.9925, 98.4072, 98.2723, 98.5974
1800.66, 97.7726, 98.2935, 98.5584, 98.4007, 98.6035, 98.5401, 97.9975, 98.4201, 98.2604, 98.6022
1800.6, 97.7582, 98.2866, 98.5468, 98.412, 98.6093, 98.5392, 97.9987, 98.4308, 98.2508, 98.6036
1800.54, 97.7402, 98.2812, 98.5379, 98.4267, 98.6176, 98.5371, 97.9948, 98.4373, 98.2454, 98.6023
1800.48, 97.72, 98.2777, 98.5321, 98.4427, 98.6268, 98.5351, 97.9857, 98.4386, 98.2452, 98.5997
1800.42, 97.6989, 98.2763, 98.529, 98.4571, 98.6354, 98.5344, 97.9719, 98.4356, 98.2504, 98.5969
