Wavenumber, 13001_2-22.SPA, 13011_2-22.SPA, 13021_2-22.SPA, 13031_2-22.SPA, 13051_2-22.SPA, 13071_2-22.SPA, 13091_2-22.SPA
1805.3, 98.3845, 98.1959, 98.3959, 98.3469, 98.5227, 98.4826, 98.5637
1805.24, 98.3803, 98.1986, 98.3984, 98.3291, 98.5124, 98.4931, 98.5709
1805.18, 98.3776, 98.2006, 98.4013, 98.3164, 98.5006, 98.5032, 98.5756
1805.12, 98.3765, 98.2019, 98.4032, 98.3108, 98.4882, 98.5121, 98.5787
1805.06, 98.3772, 98.202, 98.4026, 98.3129, 98.4762, 98.5193, 98.5811
1805, 98.3797, 98.2001, 98.3988, 98.3219, 98.4658, 98.5249, 98.5836
1804.94, 98.3838, 98.1955, 98.3915, 98.3358, 98.4579, 98.5296, 98.5864
1804.88, 98.389, 98.1877, 98.3816, 98.3521, 98.4529, 98.5342, 98.5892
1804.82, 98.3937, 98.1768, 98.3703, 98.3684, 98.4502, 98.5396, 98.5914
1804.76, 98.3965, 98.1637, 98.3592, 98.3826, 98.449, 98.5461, 98.5919
1804.7, 98.3952, 98.1497, 98.3496, 98.3935, 98.4479, 98.5537, 98.5901
1804.64, 98.3886, 98.1367, 98.3425, 98.4005, 98.446, 98.5622, 98.5856
1804.58, 98.3758, 98.1263, 98.3381, 98.4038, 98.4427, 98.5712, 98.5788
1804.52, 98.3572, 98.1196, 98.3366, 98.4042, 98.4386, 98.5799, 98.5706
1804.46, 98.3344, 98.1168, 98.3376, 98.4031, 98.435, 98.5879, 98.5624
1804.4, 98.31, 98.1175, 98.3409, 98.4021, 98.4336, 98.5944, 98.5553
1804.34, 98.2867, 98.1204, 98.3461, 98.4027, 98.4358, 98.5987, 98.5499
1804.28, 98.2671, 98.124, 98.353, 98.4061, 98.4422, 98.5999, 98.5462
1804.22, 98.2529, 98.1267, 98.3612, 98.4124, 98.4525, 98.5977, 98.5436
1804.16, 98.2449, 98.1275, 98.3701, 98.4204, 98.4651, 98.5916, 98.5406
1804.1, 98.2424, 98.1263, 98.3791, 98.4284, 98.4781, 98.582, 98.5362
1804.04, 98.244, 98.1236, 98.3876, 98.4339, 98.4893, 98.5697, 98.5297
1803.98, 98.2479, 98.1207, 98.3951, 98.4349, 98.4971, 98.556, 98.5211
1803.92, 98.2522, 98.1188, 98.4014, 98.4305, 98.5007, 98.5423, 98.5112
1803.86, 98.2555, 98.1186, 98.4065, 98.4212, 98.5005, 98.5303, 98.5014
1803.8, 98.2568, 98.1204, 98.4104, 98.4088, 98.497, 98.5212, 98.4932
1803.74, 98.2554, 98.1231, 98.4131, 98.3958, 98.4917, 98.5155, 98.4877
1803.68, 98.2511, 98.1251, 98.4143, 98.3852, 98.4858, 98.5134, 98.4855
1803.61, 98.2438, 98.1245, 98.4131, 98.379, 98.4804, 98.5144, 98.4864
1803.55, 98.2336, 98.1203, 98.4091, 98.3781, 98.4765, 98.5178, 98.4896
1803.49, 98.2208, 98.1118, 98.4015, 98.3823, 98.4745, 98.5227, 98.4942
1803.43, 98.2058, 98.0998, 98.3904, 98.3902, 98.475, 98.5281, 98.4991
1803.37, 98.1898, 98.0858, 98.3765, 98.3993, 98.4779, 98.5333, 98.5035
1803.31, 98.1739, 98.0716, 98.3612, 98.4072, 98.4829, 98.5382, 98.5071
1803.25, 98.1595, 98.0586, 98.3462, 98.4114, 98.4894, 98.5427, 98.5096
1803.19, 98.1479, 98.0473, 98.3333, 98.41, 98.4961, 98.5472, 98.511
1803.13, 98.14, 98.0374, 98.3236, 98.4023, 98.5018, 98.5521, 98.5114
1803.07, 98.1361, 98.0277, 98.3174, 98.3888, 98.5053, 98.5578, 98.5107
1803.01, 98.1359, 98.0169, 98.3141, 98.3718, 98.5057, 98.5646, 98.5089
1802.95, 98.1384, 98.0042, 98.3124, 98.3546, 98.5026, 98.5723, 98.5062
1802.89, 98.1426, 97.9896, 98.3109, 98.3409, 98.4959, 98.5802, 98.5026
1802.83, 98.1473, 97.9736, 98.3084, 98.3344, 98.486, 98.5873, 98.4982
1802.77, 98.1516, 97.9579, 98.3047, 98.3372, 98.4733, 98.5924, 98.4932
1802.71, 98.1548, 97.9438, 98.3001, 98.3491, 98.4581, 98.5946, 98.488
1802.65, 98.1565, 97.9328, 98.2955, 98.3679, 98.4412, 98.593, 98.4829
1802.59, 98.1567, 97.9255, 98.2917, 98.3897, 98.4232, 98.5875, 98.4784
1802.53, 98.1557, 97.9219, 98.2893, 98.4099, 98.4053, 98.5787, 98.4751
