Wavenumber, 13001_2-22.SPA, 13002_2-22.SPA, 13003_2-22.SPA, 13011_2-22.SPA, 13012_2-22.SPA, 13013_2-22.SPA, 13021_2-22.SPA, 13022_2-22.SPA, 13023_2-22.SPA, 13031_2-22.SPA, 13032_2-22.SPA, 13033_2-22.SPA, 13051_2-22.SPA, 13052_2-22.SPA, 13053_2-22.SPA, 13071_2-22.SPA, 13072_2-22.SPA, 13073_2-22.SPA, 13091_2-22.SPA, 13092_2-22.SPA, 13093_2-22.SPA
1803.19, 98.03, 98.3653, 98.0485, 98.1745, 98.1893, 97.7782, 98.4159, 98.4273, 98.1566, 98.3878, 98.3878, 98.4544, 98.8468, 98.4295, 98.2121, 98.4874, 98.5449, 98.6092, 98.4779, 98.5109, 98.5443
1803.13, 98.0024, 98.3687, 98.049, 98.1727, 98.1738, 97.7656, 98.4142, 98.4031, 98.1535, 98.3744, 98.3744, 98.458, 98.8462, 98.4371, 98.2221, 98.4886, 98.528, 98.6396, 98.4734, 98.5013, 98.5594
1803.07, 97.9805, 98.3746, 98.0533, 98.164, 98.1621, 97.7569, 98.4156, 98.3811, 98.1555, 98.3492, 98.3492, 98.4681, 98.8474, 98.4433, 98.2251, 98.4924, 98.509, 98.672, 98.4766, 98.4911, 98.5643
1803.01, 97.9656, 98.3809, 98.0611, 98.1474, 98.1541, 97.7493, 98.4198, 98.3611, 98.1615, 98.3162, 98.3162, 98.483, 98.8476, 98.4472, 98.2223, 98.4981, 98.4926, 98.7031, 98.4862, 98.4811, 98.5595
1802.95, 97.9577, 98.3858, 98.0717, 98.1235, 98.1491, 97.7402, 98.4258, 98.3421, 98.1694, 98.2812, 98.2812, 98.5013, 98.8437, 98.4485, 98.2156, 98.5048, 98.4821, 98.7299, 98.499, 98.4722, 98.5474
1802.89, 97.9565, 98.3871, 98.0842, 98.0945, 98.1465, 97.7277, 98.4324, 98.3232, 98.177, 98.2503, 98.2503, 98.5222, 98.8339, 98.4475, 98.2064, 98.5115, 98.4792, 98.7498, 98.511, 98.4648, 98.5319
1802.83, 97.9615, 98.3834, 98.0971, 98.0638, 98.1461, 97.7111, 98.4387, 98.3039, 98.1827, 98.2287, 98.2287, 98.5459, 98.818, 98.4445, 98.1955, 98.5173, 98.4834, 98.7611, 98.5179, 98.4592, 98.5175
1802.77, 97.9722, 98.3739, 98.1087, 98.0348, 98.1482, 97.6906, 98.4441, 98.2846, 98.1854, 98.2194, 98.2194, 98.5727, 98.7971, 98.4403, 98.1823, 98.5209, 98.4929, 98.7635, 98.5166, 98.4552, 98.5079
1802.71, 97.988, 98.359, 98.1174, 98.0109, 98.1531, 97.6674, 98.4485, 98.2664, 98.1854, 98.2225, 98.2225, 98.6023, 98.7731, 98.4353, 98.166, 98.5212, 98.5051, 98.7574, 98.5056, 98.453, 98.5055
1802.65, 98.0077, 98.3398, 98.122, 97.9942, 98.1611, 97.6431, 98.4524, 98.2503, 98.1837, 98.2355, 98.2355, 98.6328, 98.7481, 98.4297, 98.1457, 98.5172, 98.5176, 98.7442, 98.4855, 98.4523, 98.5108
1802.59, 98.0295, 98.3184, 98.1222, 97.9855, 98.1715, 97.6194, 98.4561, 98.237, 98.182, 98.254, 98.254, 98.6611, 98.7242, 98.4238, 98.1215, 98.5083, 98.5285, 98.7258, 98.4593, 98.4533, 98.5226
1802.53, 98.0512, 98.2974, 98.1185, 97.9848, 98.1832, 97.5978, 98.4597, 98.2265, 98.1816, 98.2734, 98.2734, 98.6829, 98.7033, 98.4179, 98.0948, 98.4951, 98.5368, 98.7044, 98.4308, 98.456, 98.5384
