Wavenumber, 9701_3-1.SPA, 971051_3-1.SPA, 97151_3-1.SPA, 97301_3-1.SPA, 97451_3-1.SPA, 97601_3-1.SPA, 97751_3-1.SPA, 97901_3-1.SPA
1803.74, 98.1447, 98.4755, 98.1191, 98.3739, 98.2791, 98.3307, 98.3774, 98.4119
1803.68, 98.1402, 98.4696, 98.1202, 98.3521, 98.2708, 98.3281, 98.3699, 98.4143
1803.61, 98.1351, 98.4641, 98.1177, 98.3306, 98.2611, 98.3283, 98.366, 98.4138
1803.55, 98.1294, 98.4591, 98.1107, 98.3117, 98.2513, 98.3314, 98.3658, 98.4094
1803.49, 98.1233, 98.4546, 98.0996, 98.2978, 98.2431, 98.3368, 98.3679, 98.401
1803.43, 98.1163, 98.4501, 98.0855, 98.29, 98.238, 98.3439, 98.3708, 98.3889
1803.37, 98.1081, 98.4457, 98.0702, 98.288, 98.2371, 98.3517, 98.3726, 98.3742
1803.31, 98.0983, 98.4417, 98.0557, 98.2901, 98.2405, 98.359, 98.3719, 98.3581
1803.25, 98.0866, 98.4387, 98.0434, 98.2938, 98.2477, 98.3645, 98.3686, 98.342
1803.19, 98.0735, 98.4376, 98.0343, 98.2965, 98.2572, 98.3672, 98.3634, 98.3271
1803.13, 98.0599, 98.4389, 98.0283, 98.2963, 98.2675, 98.3664, 98.3577, 98.3142
1803.07, 98.0468, 98.443, 98.0249, 98.2922, 98.2768, 98.3619, 98.3531, 98.3035
1803.01, 98.0355, 98.4491, 98.023, 98.2842, 98.2837, 98.3543, 98.3506, 98.2947
1802.95, 98.0269, 98.4564, 98.0218, 98.2733, 98.2871, 98.3444, 98.3506, 98.2874
1802.89, 98.0212, 98.4636, 98.0207, 98.2606, 98.2868, 98.3332, 98.3525, 98.2811
1802.83, 98.0179, 98.4694, 98.0193, 98.2473, 98.2827, 98.3216, 98.3551, 98.2757
1802.77, 98.0163, 98.4733, 98.0181, 98.2343, 98.2752, 98.3103, 98.3571, 98.2716
1802.71, 98.0154, 98.475, 98.0174, 98.2225, 98.265, 98.2996, 98.3574, 98.2694
1802.65, 98.0143, 98.4752, 98.0179, 98.2126, 98.2531, 98.2894, 98.3556, 98.2699
1802.59, 98.0124, 98.4745, 98.0198, 98.2054, 98.2402, 98.2795, 98.3522, 98.2733
1802.53, 98.0097, 98.4739, 98.0232, 98.2014, 98.2275, 98.2697, 98.3477, 98.2796
1802.47, 98.0063, 98.4739, 98.0275, 98.2011, 98.2158, 98.2598, 98.3433, 98.2881
1802.41, 98.0023, 98.4748, 98.0315, 98.2047, 98.2058, 98.2498, 98.3397, 98.2978
1802.35, 97.9978, 98.4761, 98.0338, 98.2116, 98.1981, 98.2401, 98.3375, 98.3072
1802.29, 97.9928, 98.4773, 98.0325, 98.2213, 98.1929, 98.2312, 98.3368, 98.3152
1802.23, 97.9869, 98.4781, 98.0267, 98.2324, 98.1904, 98.2241, 98.3369, 98.3212
1802.17, 97.9799, 98.478, 98.0157, 98.2438, 98.1902, 98.2198, 98.337, 98.3249
1802.11, 97.9715, 98.4776, 98.0002, 98.2542, 98.1922, 98.2191, 98.336, 98.3261
1802.05, 97.9616, 98.4773, 97.9818, 98.2626, 98.196, 98.2224, 98.3323, 98.3253
1801.99, 97.9505, 98.478, 97.9627, 98.2684, 98.2011, 98.2292, 98.3252, 98.3229
1801.93, 97.9385, 98.4803, 97.9453, 98.2712, 98.2072, 98.2384, 98.314, 98.3192
1801.87, 97.926, 98.4845, 97.9315, 98.2706, 98.2138, 98.248, 98.299, 98.3149
1801.81, 97.9136, 98.4899, 97.9222, 98.2667, 98.2204, 98.2556, 98.2812, 98.3106
1801.75, 97.902, 98.4957, 97.9171, 98.2597, 98.2263, 98.2593, 98.2625, 98.3072
1801.69, 97.8918, 98.5005, 97.9148, 98.25, 98.2309, 98.2582, 98.2448, 98.3054
1801.63, 97.8832, 98.5034, 97.9133, 98.2381, 98.2338, 98.2527, 98.2297, 98.3057
1801.57, 97.8768, 98.5035, 97.9106, 98.2249, 98.2346, 98.2446, 98.2187, 98.3083
1801.51, 97.8726, 98.5006, 97.9054, 98.2114, 98.2337, 98.2364, 98.2123, 98.313
1801.45, 97.8708, 98.4954, 97.8972, 98.1985, 98.2318, 98.2309, 98.2102, 98.3192
1801.39, 97.8713, 98.4885, 97.8867, 98.1872, 98.2299, 98.23, 98.2121, 98.3261
1801.32, 97.874, 98.4809, 97.8754, 98.1778, 98.229, 98.2344, 98.2174, 98.3331
1801.26, 97.8783, 98.4731, 97.865, 98.1704, 98.2301, 98.2429, 98.2253, 98.3396
1801.2, 97.8836, 98.4653, 97.8569, 98.1646, 98.2333, 98.2529, 98.2355, 98.3453
1801.14, 97.8891, 98.457, 97.8519, 98.1598, 98.2379, 98.2613, 98.247, 98.35
1801.08, 97.8937, 98.4476, 97.8498, 98.1552, 98.2426, 98.2656, 98.2589, 98.3533
1801.02, 97.896, 98.4366, 97.8496, 98.1501, 98.2459, 98.2642, 98.2696, 98.3548
1800.96, 97.8949, 98.4236, 97.85, 98.1443, 98.246, 98.2573, 98.2774, 98.3539
1800.9, 97.8892, 98.409, 97.8497, 98.1381, 98.242, 98.2468, 98.2808, 98.35
1800.84, 97.8784, 98.3933, 97.8478, 98.1319, 98.2334, 98.235, 98.2791, 98.343
1800.78, 97.8625, 98.378, 97.844, 98.1265, 98.2206, 98.2245, 98.2727, 98.3331
1800.72, 97.8422, 98.364, 97.8388, 98.1222, 98.2048, 98.2171, 98.2628, 98.3211
1800.66, 97.8188, 98.3528, 97.8328, 98.1188, 98.1876, 98.2129, 98.2513, 98.3082
1800.6, 97.7939, 98.345, 97.8269, 98.116, 98.1708, 98.211, 98.2403, 98.2958
1800.54, 97.7696, 98.3408, 97.8215, 98.1128, 98.1562, 98.2094, 98.2315, 98.2848
1800.48, 97.7475, 98.3399, 97.8168, 98.1085, 98.1452, 98.206, 98.2256, 98.2761
1800.42, 97.7289, 98.3417, 97.8123, 98.1028, 98.1389, 98.1995, 98.2225, 98.27
