Wavenumber, 9701_3-1.SPA, 9702_3-1.SPA, 9703_3-1.SPA, 971051_3-1.SPA, 971052_3-1.SPA, 971053_3-1.SPA, 97151_3-1.SPA, 97152_3-1.SPA, 97153_3-1.SPA, 97301_3-1.SPA, 97302_3-1.SPA, 97303_3-1.SPA, 97451_3-1.SPA, 97452_3-1.SPA, 97453_3-1.SPA, 97601_3-1.SPA, 97602_3-1.SPA, 97603_3-1.SPA, 97751_3-1.SPA, 97752_3-1.SPA, 97753_3-1.SPA, 97901_3-1.SPA, 97902_3-1.SPA, 97903_3-1.SPA
1773.24, 93.2391, 92.8551, 92.6093, 97.7978, 97.7899, 97.7481, 93.9509, 94.5867, 93.9242, 95.5492, 95.8184, 95.2694, 96.1578, 96.4272, 96.2478, 96.8319, 96.619, 97.3079, 97.0185, 97.5914, 97.2991, 97.449, 97.8206, 97.5283
1773.18, 93.1473, 92.7458, 92.5103, 97.7933, 97.7628, 97.7458, 93.8613, 94.5168, 93.8472, 95.4827, 95.7602, 95.189, 96.1359, 96.3741, 96.2074, 96.8172, 96.606, 97.2775, 97.0049, 97.5625, 97.2847, 97.42, 97.7738, 97.5054
1773.12, 93.0642, 92.6338, 92.4118, 97.7944, 97.7414, 97.7358, 93.7681, 94.4471, 93.7664, 95.4087, 95.703, 95.111, 96.1152, 96.3264, 96.1655, 96.7953, 96.6017, 97.2431, 96.9883, 97.5309, 97.2735, 97.3875, 97.7278, 97.4776
1773.06, 92.9876, 92.5229, 92.312, 97.7996, 97.7265, 97.7195, 93.6746, 94.3779, 93.6822, 95.3303, 95.6485, 95.038, 96.0942, 96.286, 96.1225, 96.7677, 96.602, 97.2042, 96.9691, 97.4958, 97.2638, 97.3556, 97.684, 97.4466
1773, 92.9141, 92.4161, 92.2086, 97.8061, 97.7182, 97.6986, 93.5841, 94.3101, 93.5949, 95.2506, 95.5965, 94.9719, 96.0719, 96.2525, 96.0778, 96.7361, 96.6024, 97.1608, 96.9474, 97.4566, 97.2539, 97.3277, 97.6433, 97.4151
1772.94, 92.8397, 92.3145, 92.0994, 97.8104, 97.7156, 97.6745, 93.4998, 94.2448, 93.5045, 95.1726, 95.5456, 94.9133, 96.0479, 96.224, 96.0308, 96.7018, 96.5987, 97.1136, 96.9233, 97.4136, 97.243, 97.3056, 97.606, 97.3855
1772.88, 92.7602, 92.2179, 91.9826, 97.8093, 97.7174, 97.6483, 93.4237, 94.182, 93.4106, 95.098, 95.4935, 94.862, 96.0226, 96.1976, 95.9807, 96.6661, 96.5884, 97.0638, 96.8964, 97.3692, 97.2311, 97.2895, 97.5722, 97.3595
1772.82, 92.6729, 92.1247, 91.8577, 97.8004, 97.7219, 97.6201, 93.3561, 94.1209, 93.3133, 95.0271, 95.4382, 94.8172, 95.9959, 96.1703, 95.9278, 96.63, 96.5707, 97.0134, 96.8661, 97.3267, 97.2186, 97.278, 97.5417, 97.3376
1772.76, 92.5767, 92.0326, 91.7245, 97.783, 97.7272, 97.5898, 93.2955, 94.0592, 93.2134, 94.9592, 95.3793, 94.778, 95.968, 96.1396, 95.8732, 96.5941, 96.5462, 96.9649, 96.8314, 97.2901, 97.2057, 97.2689, 97.5147, 97.3186
1772.7, 92.4723, 91.9386, 91.5845, 97.7588, 97.7317, 97.5577, 93.2391, 93.9945, 93.1123, 94.8932, 95.3177, 94.7434, 95.9379, 96.1044, 95.8186, 96.5586, 96.5161, 96.9211, 96.7921, 97.2622, 97.192, 97.2601, 97.4914, 97.3003
